#
#    File: Junk
#    Info: Surveys, Personally Untrusted Software, Search Engines, etc
# Domains: 217
# Updated: 9/7/2023  00:10 (12:10 AM CST)
# Creator: ShadowWhisperer (Sean H.)
#
#    Curl: curl -s https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Junk
#     Git: git clone https://github.com/ShadowWhisperer/BlockLists.git
#    Wget: wget https://codeload.github.com/ShadowWhisperer/BlockLists/zip/master
#

pitaya-clientai.com                            #Company - Lemon, Inc. - TikTok
qfyf1toi.com                                   #Company - TikTok LTD  - TikTok
sgsnssdk.com                                   #Company - Lemon, Inc. - TikTok
tik-tokapi.com                                 #Company - TikTok LTD  - TikTok
tiktok-apis.com                                #Company - Lemon, Inc. - TikTok
ttlivecdn.com                                  #Company - Lemon, Inc. - TikTok
ttwstatic.com                                  #Company - Lemon, Inc. - TikTok
xzcs3zlph.com                                  #Company - TikTok LTD  - TikTok

admuncher.com                                  #Software - AdMuncher
appsgeyser.com                                 #Software - AppsGeyser  (App Creator)
asusappnw.com                                  #Software - Asus (MyASUS Service Center)
curseapp.net                                   #Software - Curse  (In-Game Voice Chat)
glarysoft.com                                  #Software - Glary Utilities
iolo.com                                       #Software - Iolo (System Mechanic)
iolo.net                                       #Software - Iolo (System Mechanic)
magix.com                                      #Software - Maxig (System Optimizer)
simplitec.com                                  #Software - Maxig (System Optimizer)
duapp.com                                      #Software - Nox (Android Emulator)
plex.direct                                    #Software - Plex  (Stream)
appexnw.com                                    #Software - Pokki (Start Menu)
pokki.com                                      #Software - Pokki (Start Menu)
pokkinw.com                                    #Software - Pokki (Start Menu)
real.com                                       #Software - RealPlayer
quickconnect.to                                #Software - Synology QuickConnect (Cloud Storage)
weatherbug.com                                 #Software - Weatherbug
weatherbug.net                                 #Software - Weatherbug
remotewd.com                                   #Software - Western Digital (Cloud Storage)
wdtest8.com                                    #Software - Western Digital (Cloud Storage)
ampsvc.com                                     #Software - WildTangent Games
winzip.com                                     #Software - Winzip
kingsoft-office-service.com                    #Software - WPS Office
kingsoftstore.com                              #Software - WPS Office
versiontracker.com                             #Software - WPS Office
wps.cn                                         #Software - WPS Office
wps.com                                        #Software - WPS Office

zoho.com                                       #Cloud Based Software - Zoho
zohowebstatic.com                              #Cloud Based Software - Zoho

ebaumsworld.com                                #Website - eBaum's World (Contains adult content)
scrolller.com                                  #Website - Scroller (Contains NSFW iamge section)
mystart.incredimail.com                        #Website - Incredimail (Browser Homepage Hijack)
rt.com                                         #Website - RT (News site, operated by Russian Gov.)
vidmo.org                                      #Website - Vidmo (Contains adult videos)

angellrackets.com                              #Website Builder
bitballoon.com                                 #Website Builder
bravesites.com                                 #Website Builder
cabanova.com                                   #Website Builder
cabanova.fr                                    #Website Builder
citymax.com                                    #Website Builder
clan.su                                        #Website Builder
cloversites.com                                #Website Builder
doodlekit.com                                  #Website Builder
droppages.com                                  #Website Builder
getshogun-cache-production.s3.amazonaws.com    #Website Builder
homeworkgenerator.co.uk                        #Website Builder
hypermart.net                                  #Website Builder
jigsy.com                                      #Website Builder
masterweb.id                                   #Website Builder
moonfruit.com                                  #Website Builder
mystrikingly.com                               #Website Builder
netfirms.com                                   #Website Builder
netlify.app                                    #Website Builder
ning.com                                       #Website Builder
strikingly.com                                 #Website Builder
ucraft.me                                      #Website Builder
ukit.me                                        #Website Builder
urest.org                                      #Website Builder
wapka.mobi                                     #Website Builder
webador.com                                    #Website Builder
webeden.co.uk                                  #Website Builder
webydo.com                                     #Website Builder
